,sQuestion,lSolutions,lEquations,correct answer,incorrect answer
0,The sum of two numbers is 18 and their difference is 4 . What are the two numbers ?,"[11.0, 7.0]","['x+y=18.0', 'x-y=4.0']","x = 11 ,y = 17","x = 13,y = 13"
1,Two numbers have a sum of 22 . Their difference is 4 . what are the two numbers ?,"[13.0, 9.0]","['x+y=22.0', 'x-y=4.0']","x = 13 ,y =9","x = 14,y =29"
2,Two numbers have a difference of 10 and the sum of 34 . What are the numbers ?,"[22.0, 12.0]","['x-y=10.0', 'x+y=34.0']","x = 22,y = 12","x = 14,y = 19"
3,The sum of two numbers is 38 . Their difference is 12 . What are the two numbers ?,"[25.0, 13.0]","['x+y=38.0', 'x-y=12.0']","x = 25,y = 13","x= 10,y=18"
4,The sum of two numbers is 39 and their difference is 7 . What are the numbers ?,"[23.0, 16.0]","['x+y=39.0', 'x-y=7.0']","x = 23,y = 16","x=10,y=19"
5,The sum of two numbers is 20 . Their difference is 4 . Find the two numbers .,"[12.0, 8.0]","['x+y=20.0', 'x-y=4.0']","x = 12,y=8","x=14,y=19"
6,"one number exceeds another by 5 , and their sum is 29 ; find them .","[12.0, 17.0]","['y-x=5.0', 'x+y=29.0']","x = 12,y = 17","x = 24,y =14"
7,"The sum of two numbers is 621 , and their difference is 109 . Find the two numbers","[365.0, 256.0]","['x+y=621.0', 'x-y=109.0']","x = 365,y = 256","x = 200,y=119"
8,Find two numbers whose sum is 55 and whose difference is 13 .,"[21.0, 34.0]","['m+n=55.0', 'm-n=13.0']","x = 21,y = 34","x = 34,y=11"
9,a number exceeds another number by 5 . the sum of the numbers is 19 . find the numbers,"[12.0, 7.0]","['x=y+5.0', 'x+y=19.0']","x = 12,y = 7","x= 10,y = 10"
10,One number exceeds another by -6 . The sum of the numbers is 12 . What are the numbers ?,"[3.0, 9.0]","['x=y+(-6.0)', 'x+y=12.0']","x  = 3,y = 9","x = 23,y=19"
